Symbol,Regular_Pct,Regular_Status,PreMkt_Pct,PreMkt_Status,After_Pct,After_Status,Overnight_Pct,Overnight_Status,ExtHours_Pct,ExtHours_Status,Total_Bars
AAPL,95.8,TRAINABLE,113.7,UNTRAINABLE,0.2,UNTRAINABLE,26.4,UNTRAINABLE,51.8,UNTRAINABLE,399806
TSLA,95.7,TRAINABLE,115.0,UNTRAINABLE,0.7,UNTRAINABLE,45.1,UNTRAINABLE,56.2,UNTRAINABLE,438824
SPY,95.6,TRAINABLE,114.7,UNTRAINABLE,1.7,UNTRAINABLE,33.3,UNTRAINABLE,53.8,UNTRAINABLE,415656
AMZN,95.5,TRAINABLE,113.6,UNTRAINABLE,0.3,UNTRAINABLE,23.9,UNTRAINABLE,51.3,UNTRAINABLE,394195
NVDA,95.3,TRAINABLE,114.9,UNTRAINABLE,0.5,UNTRAINABLE,42.6,UNTRAINABLE,55.7,UNTRAINABLE,432768
GOOGL,94.2,UNTRAINABLE,111.0,UNTRAINABLE,0.2,UNTRAINABLE,19.6,UNTRAINABLE,50.1,UNTRAINABLE,379518
BAC,93.7,UNTRAINABLE,105.9,UNTRAINABLE,0.0,UNTRAINABLE,7.9,UNTRAINABLE,45.9,UNTRAINABLE,347967
QQQ,93.1,UNTRAINABLE,114.5,UNTRAINABLE,5.9,UNTRAINABLE,40.2,UNTRAINABLE,56.3,UNTRAINABLE,430299
IWM,93.0,UNTRAINABLE,113.2,UNTRAINABLE,2.0,UNTRAINABLE,29.0,UNTRAINABLE,53.3,UNTRAINABLE,402137
PFE,92.9,UNTRAINABLE,108.6,UNTRAINABLE,0.0,UNTRAINABLE,13.4,UNTRAINABLE,48.3,UNTRAINABLE,361089
SOXL,92.4,UNTRAINABLE,114.7,UNTRAINABLE,3.8,UNTRAINABLE,50.0,UNTRAINABLE,58.2,UNTRAINABLE,446557
TQQQ,91.5,UNTRAINABLE,114.7,UNTRAINABLE,3.5,UNTRAINABLE,46.9,UNTRAINABLE,57.8,UNTRAINABLE,438053
XLF,90.8,UNTRAINABLE,102.8,UNTRAINABLE,0.1,UNTRAINABLE,9.4,UNTRAINABLE,46.5,UNTRAINABLE,342534
SQQQ,90.8,UNTRAINABLE,114.7,UNTRAINABLE,5.1,UNTRAINABLE,45.8,UNTRAINABLE,58.0,UNTRAINABLE,436185
MSFT,90.7,UNTRAINABLE,109.0,UNTRAINABLE,0.1,UNTRAINABLE,15.3,UNTRAINABLE,49.5,UNTRAINABLE,360874
VZ,90.7,UNTRAINABLE,102.6,UNTRAINABLE,0.0,UNTRAINABLE,4.4,UNTRAINABLE,44.9,UNTRAINABLE,330469
TLT,90.4,UNTRAINABLE,113.1,UNTRAINABLE,0.9,UNTRAINABLE,27.8,UNTRAINABLE,53.6,UNTRAINABLE,393048
KO,89.5,UNTRAINABLE,101.1,UNTRAINABLE,0.0,UNTRAINABLE,4.8,UNTRAINABLE,44.9,UNTRAINABLE,326982
XLE,89.0,UNTRAINABLE,101.6,UNTRAINABLE,0.0,UNTRAINABLE,5.6,UNTRAINABLE,45.5,UNTRAINABLE,329704
SOXS,88.4,UNTRAINABLE,114.6,UNTRAINABLE,2.3,UNTRAINABLE,46.8,UNTRAINABLE,58.5,UNTRAINABLE,430330
WMT,88.2,UNTRAINABLE,102.0,UNTRAINABLE,0.0,UNTRAINABLE,5.1,UNTRAINABLE,45.6,UNTRAINABLE,326275
META,88.0,UNTRAINABLE,109.0,UNTRAINABLE,0.1,UNTRAINABLE,12.8,UNTRAINABLE,49.5,UNTRAINABLE,350726
DIS,87.5,UNTRAINABLE,102.5,UNTRAINABLE,0.0,UNTRAINABLE,4.9,UNTRAINABLE,45.9,UNTRAINABLE,325228
HYG,87.4,UNTRAINABLE,96.0,UNTRAINABLE,0.1,UNTRAINABLE,0.5,UNTRAINABLE,42.8,UNTRAINABLE,308757
LQD,84.6,UNTRAINABLE,95.4,UNTRAINABLE,0.0,UNTRAINABLE,0.2,UNTRAINABLE,43.4,UNTRAINABLE,301615
CVX,82.8,UNTRAINABLE,99.5,UNTRAINABLE,0.0,UNTRAINABLE,2.8,UNTRAINABLE,45.8,UNTRAINABLE,307409
XLP,82.3,UNTRAINABLE,96.4,UNTRAINABLE,0.0,UNTRAINABLE,1.0,UNTRAINABLE,44.6,UNTRAINABLE,299872
XLU,81.8,UNTRAINABLE,97.3,UNTRAINABLE,0.0,UNTRAINABLE,1.4,UNTRAINABLE,45.1,UNTRAINABLE,300900
JNJ,81.2,UNTRAINABLE,97.3,UNTRAINABLE,0.0,UNTRAINABLE,1.3,UNTRAINABLE,45.2,UNTRAINABLE,298095
FXI,81.2,UNTRAINABLE,108.0,UNTRAINABLE,2.2,UNTRAINABLE,26.6,UNTRAINABLE,55.3,UNTRAINABLE,366426
XLI,80.9,UNTRAINABLE,96.0,UNTRAINABLE,0.0,UNTRAINABLE,0.7,UNTRAINABLE,44.8,UNTRAINABLE,295945
EWZ,80.6,UNTRAINABLE,100.0,UNTRAINABLE,0.1,UNTRAINABLE,2.5,UNTRAINABLE,46.6,UNTRAINABLE,304438
XLV,80.5,UNTRAINABLE,96.3,UNTRAINABLE,0.0,UNTRAINABLE,1.2,UNTRAINABLE,45.2,UNTRAINABLE,296533
JPM,80.5,UNTRAINABLE,99.4,UNTRAINABLE,0.0,UNTRAINABLE,2.4,UNTRAINABLE,46.4,UNTRAINABLE,301773
V,79.5,UNTRAINABLE,97.1,UNTRAINABLE,0.0,UNTRAINABLE,1.0,UNTRAINABLE,45.6,UNTRAINABLE,293901
AVGO,78.2,UNTRAINABLE,104.2,UNTRAINABLE,0.1,UNTRAINABLE,11.3,UNTRAINABLE,51.1,UNTRAINABLE,321474
ARKK,77.9,UNTRAINABLE,101.9,UNTRAINABLE,0.0,UNTRAINABLE,6.4,UNTRAINABLE,49.1,UNTRAINABLE,309314
ABT,77.9,UNTRAINABLE,95.8,UNTRAINABLE,0.0,UNTRAINABLE,0.4,UNTRAINABLE,45.6,UNTRAINABLE,287710
PEP,77.8,UNTRAINABLE,97.7,UNTRAINABLE,0.0,UNTRAINABLE,1.8,UNTRAINABLE,46.6,UNTRAINABLE,292772
PG,77.5,UNTRAINABLE,96.8,UNTRAINABLE,0.0,UNTRAINABLE,0.9,UNTRAINABLE,46.2,UNTRAINABLE,289372
EEM,76.7,UNTRAINABLE,100.4,UNTRAINABLE,0.6,UNTRAINABLE,2.6,UNTRAINABLE,48.0,UNTRAINABLE,297837
